,Nr,Vatom,cAlGa,cAlIn,cAlO,cGaAl,cGaIn,cGaO,cInAl,cInGa,cInO,distAlGa,distAlIn,distAlO,distGaAl,distGaIn,distGaO,distInAl,distInGa,elInt,qAl,qGa,qIn,qO,xEq
0,1.0,9.763082351894706,2.2000000000000006,0.0,3.6500000000000012,3.6666666666666674,0.0,3.416666666666668,,,,3.325,0.025,1.8250000000000002,3.325,0.025,,,,-41.08617555778032,0.3490035615129533,0.3452637363313457,,-0.23173408471323342,4.896453337028922
1,2.0,9.78119267541588,1.1500000000000004,0.0,3.1000000000000005,1.9166666666666674,0.0,1.1666666666666672,0.0,0.0,0.0,3.075,0.025,2.075,3.075,0.025,1.7750000000000001,0.025,0.025,-38.55409816422372,0.3446901600003639,0.3470844061338987,,-0.23039200153362627,4.905701734155713
2,3.0,9.78074291931501,0.5384615384615384,0.0,2.76923076923077,2.3333333333333335,0.0,1.6666666666666672,0.0,0.0,0.0,3.325,0.025,1.975,3.325,0.025,1.8250000000000002,0.025,0.025,-33.95759604538157,0.3430194895766436,0.33981951527895377,,-0.22827966293055113,4.925995075784793
3,4.0,9.77917333825433,0.0,0.5555555555555558,3.2222222222222228,0.0,0.0,0.0,1.6666666666666672,0.0,3.666666666666667,0.025,2.9250000000000003,2.075,0.025,0.025,0.025,2.9250000000000003,0.025,-35.7633208402907,0.3376162906699047,,0.3757586950737097,-0.23143459451390408,4.898196499046257
4,5.0,11.80896465750254,0.0,0.0,0.0,0.0,2.1500000000000004,3.0000000000000004,0.0,3.5833333333333335,2.7500000000000004,0.025,0.025,0.025,0.025,3.625,2.025,0.025,3.625,-36.6456497774809,,0.3425206871514637,0.3591748441957668,-0.2325106640287183,4.869110023049536
5,6.0,10.107886924046396,1.9999999999999998,0.0,2.5555555555555554,2.5714285714285716,0.0,3.0,0.0,0.0,0.0,3.375,0.025,1.975,3.375,0.025,2.025,0.025,0.025,-33.44430847142526,0.34000485143828213,0.3442912806537638,,-0.2279201094800368,4.9282453415418646
6,7.0,13.134711782480395,1.0000000000000002,3.0000000000000004,6.000000000000001,0.3333333333333334,3.0000000000000004,3.666666666666668,0.10714285714285715,0.32142857142857145,4.321428571428572,5.075,3.375,2.1750000000000003,5.075,3.375,2.1750000000000003,3.375,3.375,-36.74922603658847,0.36144782373984086,0.31957947810748105,0.35845945177488847,-0.2366052272449827,4.784802954449954
7,8.0,11.611008306855405,0.0,1.5,2.5000000000000004,0.0,0.0,0.0,1.5,0.0,1.0000000000000002,0.025,3.2750000000000004,1.975,0.025,0.025,0.025,3.2750000000000004,0.025,-37.8189874616808,0.33737027224736005,,0.36650454785078973,-0.2346249400327166,4.859011228198008
8,9.0,10.390577554169154,0.5882352941176473,0.9411764705882356,4.176470588235294,1.4285714285714286,1.0000000000000002,4.0,2.0000000000000004,0.8750000000000001,4.875,3.125,3.125,2.025,3.125,3.125,2.025,3.125,3.125,-38.78742922299036,0.33622281032011975,0.3338418977881416,0.38780506546369037,-0.23239836632642819,4.8462186848152236
9,10.0,10.067666733816612,3.538461538461539,0.0,2.307692307692308,2.4210526315789482,0.0,3.2105263157894743,0.0,0.0,0.0,3.475,0.025,1.925,3.475,0.025,2.075,0.025,0.025,-38.11019525934926,0.34819569425636543,0.34301559900864104,,-0.23008000846868606,4.908003831117058
10,11.0,9.299552163996843,1.0714285714285716,0.0,3.857142857142858,1.5,0.0,3.4,0.0,0.0,0.0,3.625,0.025,2.025,3.625,0.025,2.025,0.025,0.025,-36.66428501964618,0.35100691529473327,0.33479937632974255,,-0.22950251603954694,4.921829520181501
11,12.0,9.821240493787048,1.0526315789473686,0.0,3.5263157894736845,1.5384615384615388,0.0,2.1538461538461537,0.0,0.0,0.0,3.075,0.025,2.075,3.075,0.025,1.925,0.025,0.025,-38.49787254488204,0.3459058287008646,0.34496453090719353,,-0.2303489509814575,4.906091737709454
12,13.0,9.517705204784233,0.9230769230769232,0.0,2.461538461538462,4.000000000000002,0.0,1.6666666666666674,0.0,0.0,0.0,3.2750000000000004,0.025,1.8250000000000002,3.2750000000000004,0.025,1.7750000000000001,0.025,0.025,-39.40753721455533,0.34644252898118416,0.3476584229180069,,-0.231113672729559,4.904854289256568
13,14.0,10.221068337904764,4.250000000000001,0.0,6.000000000000002,0.6071428571428572,0.0,4.071428571428573,0.0,0.0,0.0,3.075,0.025,1.975,3.075,0.025,1.975,0.025,0.025,-37.80925780684161,0.3717713160828954,0.34051526830325757,,-0.2296148495171415,4.876599739059986
14,15.0,11.64556101404914,1.0000000000000002,1.5833333333333337,3.5000000000000004,3.0000000000000004,2.750000000000001,1.2500000000000002,1.1875000000000002,0.6875000000000002,2.0000000000000004,3.625,3.325,2.1750000000000003,3.625,3.625,1.925,3.325,3.625,-37.86745663487684,0.33220642940070694,0.3353204536891847,0.36981915345543154,-0.2342680296427524,4.851324768026135
15,16.0,11.366298752921272,0.42857142857142877,1.4285714285714293,3.0714285714285725,1.0000000000000004,0.5000000000000002,2.333333333333334,1.666666666666667,0.2500000000000001,2.916666666666667,3.125,3.2750000000000004,1.875,3.125,3.125,1.925,3.2750000000000004,3.125,-41.90063383080225,0.3426770932338633,0.33264066697060835,0.37529640188114094,-0.2353516693681548,4.870873849247961
16,17.0,9.522066987726177,0.4827586206896552,0.10344827586206896,3.2758620689655173,7.000000000000001,0.5000000000000001,4.5,3.0000000000000004,1.0000000000000002,2.0000000000000004,3.4250000000000003,3.075,2.025,3.4250000000000003,3.4250000000000003,2.025,3.075,3.4250000000000003,-39.16287332150912,0.3448714816156367,0.34955146375060875,0.3911446584614911,-0.23107334485033673,4.900164936489189
17,18.0,12.594510057275908,0.0,0.0,0.0,0.0,4.23076923076923,1.6153846153846154,0.0,2.8947368421052633,3.0526315789473695,0.025,0.025,0.025,0.025,3.825,1.925,0.025,3.825,-41.07780888816417,,0.33094326963667464,0.37132024368993055,-0.23661139865386374,4.854180191055345
18,19.0,10.228489796944357,0.2,0.3999999999999999,3.1999999999999993,0.25,1.5,1.2500000000000002,0.6666666666666666,2.0000000000000004,4.666666666666666,2.7750000000000004,2.975,2.075,2.7750000000000004,3.725,1.975,2.975,3.725,-35.45156717971878,0.33860033562820735,0.3280281299978425,0.3848168086399377,-0.23108692355845672,4.902169981891954
19,20.0,11.968273312727987,0.5000000000000002,1.5000000000000004,1.0000000000000004,0.5000000000000002,1.5000000000000004,2.5000000000000004,0.7500000000000002,0.7500000000000002,2.25,3.725,3.325,1.875,3.725,3.325,1.875,3.325,3.325,-37.50074246258565,0.33203852443874815,0.3345751856176138,0.3696711971943466,-0.23432601740750936,4.861849719147626
20,21.0,12.680625883230816,0.0,0.0,0.0,0.0,3.0833333333333344,2.583333333333334,0.0,1.8500000000000005,3.8000000000000007,0.025,0.025,0.025,0.025,3.475,1.975,0.025,3.475,-38.969023862877286,,0.3311556474192499,0.3672729345147329,-0.23581930123595118,4.83354054107776
21,22.0,9.29955215455529,1.0000000000000002,0.0,3.2857142857142865,1.4,0.0,3.3999999999999995,0.0,0.0,0.0,2.875,0.025,2.025,2.875,0.025,2.025,0.025,0.025,-35.6770222891264,0.34329842746663325,0.34437810935092494,,-0.22916552994561437,4.926656448992516
22,23.0,10.13027570851099,0.0,1.7500000000000002,3.5000000000000013,0.0,0.0,0.0,3.5000000000000004,0.0,1.5000000000000004,0.025,3.725,2.125,0.025,0.025,0.025,3.725,0.025,-35.41706579592875,0.3365965187064968,,0.3706503444694249,-0.23196519597387086,4.886889989581402
23,24.0,11.273286929881989,4.0,2.8000000000000007,1.5999999999999999,1.1111111111111112,0.7777777777777777,1.6111111111111112,1.5555555555555558,1.5555555555555554,3.8888888888888893,3.575,3.575,1.875,3.575,3.2750000000000004,1.975,3.575,3.2750000000000004,-37.536210849683414,0.3490587817418507,0.33500481879794114,0.3739813979438187,-0.23210860892847004,4.880180291261905
24,25.0,9.314068770284488,0.8888888888888891,0.44444444444444453,3.111111111111112,4.000000000000001,0.5000000000000001,5.000000000000001,4.000000000000001,1.0000000000000002,1.0000000000000004,3.625,3.625,2.025,3.625,2.875,2.025,3.625,2.875,-35.77402337554533,0.3411802877542964,0.35607843935946015,0.35794848095247284,-0.2300404416366701,4.916315040547156
